ACCOUNT_STATUS,SERVICE__PLAN,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,STATE,FEEDBACK,SATELLITE,SITE_TYPE_DESC,MOST_RECENT_SALES_CHANNEL,GENDER,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,Y,,,,,,
Active,Proplus,Uknown,Direct,TAG, NM,GOOD,SM5-HOR-6K,Spaceway,DW6000 Upgrade,Male,33,8,0,Unkown,N,0,,,,,,
Active,Basic,Retail/others,Direct,LiveBridge Communications LLC, CO,Unkown,Unkown,Spaceway,DW7000 Upgrade,Female,47,3,1,0,N,0,,,,,,
Active,Elite,Sales Agents,Indirect,TAG, TX,GOOD,HZN2-VER-4K,Spaceway,DPC Classic upgrade,Female,25,0,1,0,N,0,,,,,,
Active,Home,Vars,Direct,Hughes Web Order, MO,BAD,Unkown,Broadband Remote,Retail       ,Male,39,6,1,0,Unknown,0,,,,,,
Active,Pro,Web orders,Indirect,Best Buy, CO,GOOD,G17-HOR-2K,Spaceway,National Sales,Female,46,3,0,0,N,0,,,,,,
Active,Basic_Ltd,Vars,Direct,ACS Pre-Install, TX,GOOD,SM5-HOR-14K,Broadband Remote,Dealer-Generated Sale,Male,25,0,0,0,Y,0,,,,,,
Active,Basic,Retail/others,Indirect,RS&I, AZ,GOOD,SM5-HOR-6K,Broadband Remote,HN7000 Upgrade,Male,56,9,Unkown,0,Unknown,0,,,,,,
Active,Home,Call Center,Indirect,RS&I, CO,GOOD,AM9-VER-2K ,Broadband Remote,DW7000 Upgrade,Male,41,0,0,0,N,0,,,,,,
Active,Power150,Call Center,Direct,RS&I, NJ,BAD,Unkown,Broadband Remote,DPC Classic upgrade,Male,26,6,1,0,N,0,,,,,,
Active,Home,Web orders,Direct,Perfect 10, TX,GOOD,AM6-HOR-21K,Broadband Remote,HN7000 Upgrade,Male,39,0,0,Unkown,Unknown,0,,,,,,
Active,Basic,Uknown,Indirect,ACS Pre-Install, AL,GOOD,Unkown,Spaceway,Dealer-Generated Sale,Male,61,8,0,0,N,0,,,,,,
Active,Pro,Uknown,Indirect,ACS Pre-Install, AR,BAD,SPACEWAY3,Broadband Remote,Direct,Female,22,0,1,0,Y,0,,,,,,
Active,Basic_Ltd,Call Center,Direct,TAG, CA,BAD,SPACEWAY3,Broadband Remote,DPC Classic upgrade,Male,46,6,0,0,Unknown,0,,,,,,
Active,Power150,Uknown,Indirect,Hughes Web Order, MN,BAD,AM6-HOR-21K,Broadband Remote,DPC Classic upgrade,Female,22,7,1,0,Unknown,0,,,,,,
Active,Power150,Sales Agents,Indirect,TAG, MI,GOOD,Unkown,Broadband Remote,DW6000 Upgrade,Male,40,7,0,0,Unknown,0,,,,,,
Active,Unknown,Call Center,Direct,Hughes Web Order, MT,Unkown,G16-VER-1K,Broadband Remote,HN7000 Upgrade,Male,56,3,1,0,N,0,,,,,,
Active,Unknown,Vars,Indirect,TAG, MD,GOOD,SM5-HOR-14K,Broadband Remote,DW7000 Upgrade,Male,56,8,0,0,N,0,,,,,,
Active,Power150,Uknown,Indirect,TAG, MT,GOOD,G28-HOR-10K,Broadband Remote,HN9000 Upgrade,Female,62,0,1,1,N,0,,,,,,
Active,Power150,Call Center,Indirect,TAG, NC,GOOD,SPACEWAY3,Broadband Remote,Direct,Male,50,6,0,0,Unknown,0,,,,,,
